id,date,table_id,duration,red_goal,blue_goal,winner
22675,2024-04-03,1,842,7,10,BLUE
150,2023-09-27,19,377,2,7,BLUE
24069,2024-10-18,7,705,7,2,RED
7790,2024-01-05,18,789,4,7,BLUE
5445,2024-12-15,22,660,6,10,BLUE
20845,2023-10-30,28,1068,3,7,BLUE
21618,2024-08-26,22,488,1,2,BLUE
12943,2025-07-17,6,900,10,6,RED
23655,2024-09-06,28,559,8,9,BLUE
24251,2025-08-04,14,779,0,1,BLUE
8531,2024-03-04,16,305,4,8,BLUE
4763,2024-06-15,17,420,8,6,RED
6719,2025-12-07,2,960,9,5,RED
18627,2024-10-09,19,1001,0,0,TIE
13492,2024-07-05,2,431,2,1,RED
6101,2023-08-30,21,1052,9,1,RED
4504,2023-12-11,5,492,9,4,RED
5876,2023-03-26,11,886,9,6,RED
7383,2023-07-10,5,995,7,7,TIE
7393,2024-05-13,1,960,2,10,BLUE
829,2024-08-24,4,925,5,3,RED
11307,2023-11-09,26,387,3,9,BLUE
8149,2023-05-06,16,960,5,9,BLUE
15325,2023-12-21,23,860,4,1,RED
7632,2023-08-15,21,541,6,1,RED
11545,2024-02-29,18,1140,6,2,RED
16824,2024-02-22,10,360,5,6,BLUE
19430,2024-04-26,20,701,10,4,RED
17092,2025-10-10,30,420,5,1,RED
5850,2025-02-17,30,378,8,4,RED
24184,2023-12-21,30,660,7,2,RED
22369,2024-09-06,8,720,4,4,TIE
15447,2025-05-04,4,300,3,9,BLUE
5923,2025-01-24,19,337,7,4,RED
1423,2024-03-26,6,1026,9,7,RED
14297,2024-08-07,16,687,9,8,RED
10093,2025-11-07,18,300,4,4,TIE
737,2025-02-28,4,720,1,1,TIE
1181,2023-02-11,7,300,2,7,BLUE
18708,2023-08-21,30,463,6,9,BLUE
17100,2023-01-07,15,455,7,9,BLUE
24439,2025-05-10,10,917,8,5,RED
5178,2024-05-04,9,607,6,2,RED
5908,2023-11-07,22,413,9,9,TIE
23659,2023-10-09,12,840,0,1,BLUE
8459,2024-03-31,2,720,8,0,RED
19454,2024-06-25,19,1105,3,10,BLUE
9123,2023-11-21,13,871,5,0,RED
13760,2023-02-09,20,667,0,3,BLUE
23073,2023-07-16,1,1087,1,9,BLUE
21224,2023-12-04,26,1189,8,9,BLUE
16821,2023-12-01,6,1042,2,4,BLUE
23460,2024-11-28,24,388,6,4,RED
8679,2024-06-24,2,660,3,0,RED
22193,2025-08-01,17,469,3,9,BLUE
4625,2025-05-23,12,960,10,1,RED
13037,2025-12-28,9,527,5,2,RED
3338,2024-01-15,17,839,10,7,RED
5604,2023-01-11,16,720,8,2,RED
8444,2023-11-15,28,840,5,0,RED
4348,2024-09-01,8,840,4,5,BLUE
19702,2024-01-24,7,300,4,3,RED
6403,2023-10-26,10,1140,4,4,TIE
11615,2024-06-06,16,300,0,10,BLUE
10397,2023-06-20,8,720,9,2,RED
15901,2023-09-05,14,821,7,9,BLUE
19125,2023-06-30,24,1155,5,9,BLUE
19724,2024-08-19,14,567,1,5,BLUE
19340,2025-09-04,15,503,9,8,RED
17404,2024-07-21,22,1080,8,4,RED
11324,2023-01-09,17,848,10,5,RED
14986,2024-09-28,20,300,3,3,TIE
5565,2024-06-14,3,960,9,6,RED
20301,2025-10-22,2,360,5,4,RED
24062,2023-06-12,6,720,7,5,RED
16977,2023-01-26,22,393,3,8,BLUE
7372,2025-06-20,6,1143,6,10,BLUE
5275,2024-11-13,30,820,4,1,RED
5553,2025-08-02,1,540,3,7,BLUE
4696,2025-09-11,12,1072,8,0,RED
11981,2025-12-20,16,585,3,10,BLUE
6874,2025-07-12,12,1048,5,9,BLUE
158,2023-06-06,4,1103,4,0,RED
7194,2023-07-09,23,422,4,0,RED
14561,2024-02-10,19,845,7,6,RED
6599,2024-12-16,22,480,3,8,BLUE
23176,2024-02-29,22,919,3,9,BLUE
19997,2025-02-02,18,553,10,9,RED
19424,2025-07-03,18,960,7,6,RED
1442,2023-12-30,27,921,7,2,RED
4166,2025-06-01,9,1170,8,9,BLUE
6101,2023-08-30,21,1052,9,1,RED
3704,2024-03-24,12,378,1,5,BLUE
15502,2023-08-09,25,676,3,8,BLUE
17270,2023-12-23,15,1020,3,2,RED
22588,2024-01-15,12,840,1,2,BLUE
1434,2023-08-15,5,840,7,3,RED
14563,2024-11-09,23,1093,2,2,TIE
7236,2025-12-09,26,656,7,3,RED
8813,2024-10-09,2,909,2,1,RED
22794,2025-04-25,5,460,4,0,RED
21635,2024-05-08,19,717,10,8,RED
15940,2025-09-18,29,1090,10,1,RED
10689,2023-07-21,16,491,3,10,BLUE
16768,2024-12-07,28,1011,0,6,BLUE
14471,2024-05-19,19,604,6,7,BLUE
10963,2024-04-19,12,594,7,4,RED
15765,2024-07-23,26,840,4,8,BLUE
9092,2024-01-24,30,540,10,10,TIE
2134,2024-10-14,1,1080,1,6,BLUE
1574,2024-10-19,3,925,3,5,BLUE
16719,,6,1121,9,5,RED
9798,2025-07-08,10,847,3,5,BLUE
8292,2025-09-01,29,670,9,1,RED
2591,2025-08-12,7,964,2,9,BLUE
10525,2025-08-24,19,430,8,3,RED
8910,2025-08-13,4,349,6,6,TIE
9029,2025-02-02,30,1028,4,1,RED
20890,2025-10-15,28,459,9,1,RED
4808,2023-11-12,25,960,7,0,RED
10389,2025-07-31,11,482,8,8,TIE
10956,2023-05-06,23,668,9,9,TIE
15937,2023-07-08,4,684,5,5,TIE
9282,2024-08-31,26,636,0,6,BLUE
6611,2024-02-04,24,707,4,9,BLUE
18487,2025-05-20,24,572,7,2,RED
3468,2025-03-08,11,960,5,8,BLUE
3105,2024-12-19,22,656,1,7,BLUE
6473,2025-11-12,22,328,8,9,BLUE
6984,2025-11-08,19,498,8,7,RED
2982,2024-07-06,11,720,9,5,RED
2041,2023-02-09,7,749,7,9,BLUE
16859,2024-12-04,8,830,10,5,RED
8731,2023-05-20,27,958,6,2,RED
5344,2025-07-02,15,591,0,3,BLUE
20571,2025-10-20,25,1054,8,1,RED
8743,2023-11-05,1,558,6,10,BLUE
20922,2024-07-10,22,1062,0,1,BLUE
3663,2025-01-07,23,840,1,0,RED
16768,2024-12-07,28,1011,0,6,BLUE
3007,2025-07-25,24,852,4,8,BLUE
11945,2023-02-21,26,1140,1,10,BLUE
6325,2023-12-22,16,905,5,1,RED
2188,2024-07-29,27,507,3,10,BLUE
17589,2024-12-09,24,480,2,4,BLUE
22118,2023-09-25,7,960,5,0,RED
15903,2025-12-10,16,718,6,7,BLUE
5585,2024-12-04,20,302,6,10,BLUE
12548,2024-02-20,25,1068,0,0,TIE
1124,,14,1082,7,3,RED
12451,2023-05-08,4,300,4,3,RED
14274,2024-07-27,23,840,2,6,BLUE
15530,2025-07-04,2,932,7,10,BLUE
5876,2023-03-26,11,886,9,6,RED
2604,2025-12-26,25,399,4,2,RED
19336,2023-11-03,26,1063,9,10,BLUE
13106,2025-10-29,28,537,7,7,TIE
19794,2024-04-23,25,757,5,8,BLUE
20421,2023-10-31,6,1104,1,8,BLUE
219,2023-12-26,23,1174,1,1,TIE
656,2025-09-16,9,340,7,6,RED
15212,2025-04-29,16,1130,3,0,RED
12627,2024-10-30,18,839,5,2,RED
9078,2024-07-14,1,1200,5,4,RED
16817,2024-07-12,8,378,7,9,BLUE
8667,2023-10-25,2,938,5,1,RED
6211,2025-08-15,1,1152,3,7,BLUE
2935,2025-11-30,5,487,5,7,BLUE
2959,2025-03-22,30,600,5,5,TIE
9704,2023-08-07,6,1055,1,2,BLUE
14953,2023-02-24,25,947,10,0,RED
264,2024-01-16,9,1020,4,8,BLUE
22142,2023-11-23,29,1109,4,1,RED
12639,2024-08-08,27,887,3,5,BLUE
9871,2025-09-19,15,360,9,5,RED
21492,2025-01-07,28,540,3,5,BLUE
3375,2025-10-08,13,961,6,1,RED
5646,2024-03-14,11,481,8,3,RED
24838,2025-01-27,28,739,0,8,BLUE
18769,2023-06-26,13,720,8,3,RED
18081,2025-07-13,1,960,7,0,RED
18438,2024-10-02,10,420,8,4,RED
4993,2024-03-07,2,900,7,10,BLUE
7714,2024-10-24,4,1088,5,2,RED
23151,2024-08-20,7,864,3,10,BLUE
19681,2023-02-13,17,677,2,10,BLUE
5843,2024-03-27,13,436,5,9,BLUE
24010,2023-02-16,4,326,6,9,BLUE
8018,2023-12-29,6,876,9,2,RED
7709,2024-08-12,8,540,2,5,BLUE
1386,2024-05-19,15,546,2,10,BLUE
4210,2024-02-20,2,584,4,9,BLUE
14993,2023-10-07,27,376,7,8,BLUE
10929,2023-01-27,13,1080,3,9,BLUE
4946,2025-04-21,26,447,5,7,BLUE
275,2023-04-24,19,748,3,9,BLUE
13934,2024-11-30,6,619,5,1,RED
8102,2023-04-03,29,498,4,0,RED
3711,2023-11-21,9,420,0,9,BLUE
12777,2023-05-03,29,660,10,0,RED
11706,2024-10-08,27,480,9,2,RED
23825,2025-05-27,30,764,6,1,RED
491,2025-06-28,23,434,6,9,BLUE
19288,2024-09-21,7,760,9,2,RED
17849,2025-01-27,5,960,7,3,RED
910,2025-04-08,5,555,8,0,RED
10542,2023-02-20,11,1019,10,0,RED
18359,2025-12-15,22,1075,10,2,RED
10396,2025-03-25,1,561,3,0,RED
23318,2024-02-07,3,908,1,10,BLUE
11696,2023-07-22,24,811,9,6,RED
17097,2024-10-15,30,1049,9,9,TIE
19083,2025-03-29,24,1200,0,9,BLUE
5341,2023-03-14,30,420,10,8,RED
9063,2024-06-05,5,1182,9,4,RED
22906,2025-07-03,16,900,10,3,RED
20101,2024-02-02,10,422,9,5,RED
18297,2025-07-20,5,1029,7,9,BLUE
21117,2023-07-26,13,900,6,7,BLUE
17522,2024-03-23,26,1165,10,2,RED
23599,2025-05-31,22,693,1,8,BLUE
16738,2025-05-25,18,480,10,9,RED
4300,2025-03-03,26,960,10,9,RED
14109,2024-01-14,24,900,8,5,RED
3660,2025-05-31,4,360,6,1,RED
6663,2023-04-03,23,345,6,7,BLUE
21217,2024-01-22,16,324,4,3,RED
2884,2025-03-17,30,1080,0,0,TIE
23529,2025-07-31,19,480,4,9,BLUE
22050,2024-08-23,29,934,7,4,RED
17485,2023-03-11,1,540,5,2,RED
8412,2025-03-13,1,788,4,5,BLUE
5148,2025-11-17,22,1200,5,3,RED
4254,2023-10-27,17,423,10,5,RED
11543,2025-05-21,26,358,10,0,RED
14504,2023-12-02,4,300,8,7,RED
11352,2023-03-27,29,907,2,6,BLUE
2211,2025-03-18,26,544,1,3,BLUE
16004,2024-02-04,24,736,6,2,RED
5553,2025-08-02,1,540,3,7,BLUE
23384,2023-03-03,20,1031,4,1,RED
12495,2024-02-27,22,540,4,6,BLUE
19487,2025-11-04,21,660,5,9,BLUE
230,2024-07-12,9,900,10,5,RED
14842,2024-05-11,25,913,5,10,BLUE
18838,2023-09-30,18,844,1,2,BLUE
19225,2023-11-24,21,360,2,9,BLUE
16503,2023-05-27,25,780,5,4,RED
4419,2024-11-03,12,1094,2,10,BLUE
9118,2025-11-11,25,1020,8,0,RED
15079,2025-05-02,27,1043,8,1,RED
5660,2024-01-15,30,1019,3,10,BLUE
8941,2023-02-18,15,612,0,6,BLUE
4903,2023-03-13,23,794,9,6,RED
8,2023-07-03,30,1020,0,4,BLUE
9963,2025-07-27,17,780,2,10,BLUE
13075,2025-09-09,8,857,5,8,BLUE
17983,2024-09-12,11,300,2,4,BLUE
13369,2025-06-05,14,778,4,6,BLUE
17401,2024-09-01,6,544,0,7,BLUE
15900,,8,595,7,5,RED
20801,2025-01-16,24,456,5,0,RED
4870,2023-08-12,6,780,1,3,BLUE
21290,2024-12-20,7,369,8,1,RED
11701,2024-02-09,13,600,8,8,TIE
1062,2023-08-26,22,833,5,10,BLUE
15716,2025-05-31,29,1020,3,4,BLUE
17253,2025-01-13,5,986,9,10,BLUE
23973,2023-07-05,29,862,7,7,TIE
19998,2023-02-24,21,900,6,1,RED
4365,2024-01-13,7,780,9,9,TIE
20903,2025-12-24,22,660,1,5,BLUE
12987,2024-12-03,9,1057,8,5,RED
14374,2023-06-04,3,1080,8,9,BLUE
12265,2025-10-27,2,607,9,9,TIE
11784,2025-03-26,19,428,4,10,BLUE
8530,2025-12-27,25,600,7,7,TIE
23617,2024-03-17,24,404,0,1,BLUE
7940,2023-04-08,14,1020,7,5,RED
1125,2023-04-14,21,1140,9,2,RED
23010,2023-04-02,28,1169,7,8,BLUE
22707,2025-01-29,30,900,9,6,RED
7262,2024-06-12,3,667,2,3,BLUE
19409,2023-12-05,3,1080,1,1,TIE
13591,2025-02-17,28,720,6,9,BLUE
21147,2025-03-23,11,722,8,1,RED
2389,2024-03-04,10,962,7,10,BLUE
4878,2024-05-28,6,918,8,0,RED
13512,2023-08-09,28,301,4,0,RED
24532,2023-10-08,24,900,6,5,RED
10658,2023-06-13,16,400,1,3,BLUE
20087,2024-12-14,2,480,9,2,RED
16916,2025-01-25,12,680,8,9,BLUE
18526,2024-03-16,7,329,7,0,RED
15462,2025-11-14,7,706,10,10,TIE
21594,2023-03-01,3,1077,8,5,RED
14480,2025-07-07,8,515,0,1,BLUE
13446,2024-09-11,20,990,2,9,BLUE
23127,2025-06-16,13,900,0,8,BLUE
21772,2024-12-01,2,528,8,0,RED
24042,2025-03-21,4,516,6,1,RED
24488,2023-02-13,16,744,4,0,RED
9491,2024-07-22,24,900,5,6,BLUE
11035,2024-04-10,21,969,8,2,RED
22972,2024-09-17,30,1190,7,4,RED
10243,2023-11-23,20,746,7,2,RED
2124,2025-03-01,22,1106,6,7,BLUE
16886,2025-12-19,4,656,10,7,RED
20618,2025-02-25,6,631,9,9,TIE
7465,2025-11-15,17,420,10,0,RED
3258,2025-06-03,1,793,7,5,RED
6486,2025-12-19,16,480,0,10,BLUE
6965,2023-05-27,7,598,7,2,RED
18639,2024-05-22,30,480,1,1,TIE
18485,2023-09-14,30,1189,9,5,RED
23231,2024-09-17,19,685,0,5,BLUE
11063,2024-05-26,27,824,5,5,TIE
423,2023-10-18,11,556,3,5,BLUE
4815,2024-10-13,8,605,1,4,BLUE
14989,2024-04-21,8,679,2,1,RED
24544,2025-03-29,6,455,0,7,BLUE
3007,2025-07-25,24,852,4,8,BLUE
11216,2023-10-04,19,960,5,7,BLUE
1613,2024-01-18,18,477,1,7,BLUE
19578,2024-08-21,28,527,5,2,RED
8150,2024-10-11,8,1130,9,6,RED
6323,2023-12-29,14,1080,4,4,TIE
20222,2024-03-27,11,508,10,4,RED
23015,2024-12-02,13,543,5,2,RED
21440,2023-09-30,14,952,8,9,BLUE
20828,2024-10-23,25,492,9,5,RED
2489,2023-07-18,10,540,4,4,TIE
16651,2025-12-13,11,540,2,6,BLUE
23700,2024-03-29,23,437,5,10,BLUE
23967,2025-09-30,30,726,4,2,RED
17925,2024-01-16,14,914,10,1,RED
23727,2024-08-07,14,962,3,5,BLUE
21604,2025-02-27,2,676,0,4,BLUE
13492,2024-07-05,2,431,2,1,RED
13971,2024-09-13,7,340,8,4,RED
12382,2024-01-03,11,632,6,3,RED
9351,2024-10-02,3,563,7,2,RED
4836,2023-12-21,12,684,1,5,BLUE
470,2023-06-21,1,445,1,10,BLUE
18394,2025-03-04,5,1081,6,10,BLUE
8141,2024-08-19,10,720,9,9,TIE
2617,2025-12-19,17,1191,7,8,BLUE
12549,2025-03-22,22,960,5,7,BLUE
22707,2025-01-29,30,900,9,6,RED
8160,2024-02-25,3,719,5,5,TIE
20479,2023-09-28,25,841,10,9,RED
3112,2024-07-25,6,794,4,8,BLUE
329,,29,817,6,3,RED
19736,2023-06-06,29,529,9,1,RED
23500,2024-05-19,4,790,3,5,BLUE
16930,2023-03-28,30,300,6,4,RED
5151,2023-12-06,10,720,3,8,BLUE
6931,2023-10-24,3,1040,1,4,BLUE
7755,2025-10-20,2,407,0,8,BLUE
15498,2024-11-29,9,1071,4,3,RED
4511,2025-10-01,24,600,3,2,RED
20194,2023-02-10,17,468,7,4,RED
20548,2024-11-20,13,1080,7,6,RED
19243,2024-06-21,3,1140,7,4,RED
16522,2024-10-12,11,559,10,7,RED
20215,2025-11-04,8,1140,10,6,RED
6193,2024-04-15,29,1141,10,2,RED
12347,2023-02-03,26,1080,6,7,BLUE
18170,2025-12-06,5,394,9,3,RED
5382,,15,914,5,4,RED
12975,2024-09-13,2,1042,7,5,RED
16361,2025-08-29,8,600,2,4,BLUE
15422,2023-04-26,23,550,2,6,BLUE
10666,2024-04-12,18,840,1,5,BLUE
14647,2024-11-27,19,782,9,1,RED
13828,2024-05-26,10,734,6,9,BLUE
1886,2023-04-22,2,960,5,6,BLUE
8302,2024-10-08,30,1168,9,1,RED
8799,2025-01-04,5,660,9,0,RED
5237,2024-08-29,22,420,6,9,BLUE
16584,2024-09-15,22,439,3,2,RED
4992,2023-05-02,22,414,6,7,BLUE
12212,2025-04-15,28,300,2,6,BLUE
12875,2023-02-01,18,633,6,8,BLUE
19932,2023-01-11,22,952,1,3,BLUE
11865,2025-01-15,2,681,9,5,RED
11198,2023-01-25,5,1200,8,5,RED
4607,2025-11-18,29,300,7,9,BLUE
7687,2023-08-09,10,310,3,5,BLUE
2724,2023-07-22,26,706,7,0,RED
9820,2024-08-05,14,540,9,10,BLUE
11596,2024-12-08,16,1178,3,9,BLUE
4759,2023-06-27,18,780,3,7,BLUE
14626,2024-01-11,29,840,7,4,RED
2066,2024-01-19,7,1130,8,6,RED
15978,2024-02-09,1,1200,5,1,RED
10033,2025-02-11,28,337,5,5,TIE
18956,2023-04-28,1,597,4,1,RED
7249,2025-11-04,6,491,10,8,RED
14548,2023-02-21,11,390,1,2,BLUE
71,2024-07-15,24,1020,2,9,BLUE
1744,2023-08-23,13,300,0,1,BLUE
17646,2025-11-04,20,795,9,7,RED
19381,2024-01-02,22,932,9,8,RED
18709,2025-06-16,8,621,8,0,RED
1166,2023-08-28,23,440,2,3,BLUE
21283,2024-07-24,23,613,9,10,BLUE
5522,2024-05-25,27,660,7,3,RED
22447,2023-07-07,11,434,2,2,TIE
24798,2025-03-13,3,840,9,4,RED
2902,2025-02-03,3,720,6,8,BLUE
1074,2023-05-23,16,526,6,6,TIE
19673,2024-10-06,2,720,2,2,TIE
12543,2024-08-10,23,900,4,10,BLUE
4089,2024-05-21,2,590,2,8,BLUE
16288,2024-09-27,6,840,5,2,RED
10766,2024-05-22,9,606,1,6,BLUE
13037,2025-12-28,9,527,5,2,RED
16577,2025-06-11,30,400,10,8,RED
13060,2024-10-09,27,904,1,4,BLUE
22598,2025-12-07,8,958,8,2,RED
20770,2025-12-19,3,998,9,5,RED
11378,2023-08-20,27,1200,4,0,RED
14942,2025-06-17,17,505,4,10,BLUE
15710,2025-01-29,22,738,4,5,BLUE
13189,2023-05-14,6,1190,0,0,TIE
22736,2025-11-25,5,660,3,1,RED
24342,2024-12-21,17,870,7,1,RED
6045,2024-08-26,3,1149,8,8,TIE
7615,2025-11-29,2,378,3,0,RED
15675,2024-04-20,4,623,7,3,RED
3197,2023-07-21,1,859,10,6,RED
23683,2023-02-28,4,498,5,2,RED
3036,2023-03-12,13,948,9,6,RED
22853,2023-10-23,25,757,6,4,RED
16252,2024-11-22,23,751,4,2,RED
1290,2025-03-26,3,899,10,6,RED
19461,2025-10-18,6,347,6,2,RED
4520,2023-04-04,15,900,3,3,TIE
11752,2023-08-23,9,660,4,7,BLUE
22007,2025-03-03,5,526,4,5,BLUE
23372,2024-12-18,12,360,4,9,BLUE
23124,2024-05-16,30,817,4,8,BLUE
1766,2023-06-19,6,388,5,8,BLUE
16117,2025-09-10,22,337,1,5,BLUE
17197,2023-02-27,7,480,9,8,RED
981,2025-08-02,20,993,7,9,BLUE
284,2024-11-28,14,1041,10,1,RED
21915,2024-06-10,9,1139,9,3,RED
1533,2023-04-23,28,300,0,2,BLUE
12600,2023-11-12,29,322,10,7,RED
24333,2025-04-23,28,1161,10,8,RED
13491,2023-01-29,1,828,10,7,RED
7597,2025-09-17,21,807,1,8,BLUE
20,2025-04-02,2,591,5,4,RED
4265,2023-07-06,9,347,0,2,BLUE
22673,2025-04-16,1,666,7,2,RED
8324,2023-04-01,1,1180,4,0,RED
16471,2024-07-19,5,1171,2,7,BLUE
7946,2024-12-16,30,903,7,3,RED
8186,2024-05-28,17,307,5,9,BLUE
10027,2024-05-07,29,401,0,3,BLUE
19148,2023-12-04,7,1162,0,5,BLUE
19942,2024-05-11,1,330,0,2,BLUE
11945,2023-02-21,26,1140,1,10,BLUE
13720,2025-02-26,19,935,8,10,BLUE
2290,2024-05-29,18,1177,7,8,BLUE
18277,2025-10-04,24,340,10,6,RED
4734,2025-12-27,30,447,2,3,BLUE
24664,2025-08-03,4,731,8,2,RED
15742,2025-08-05,25,776,1,7,BLUE
3204,2025-04-13,13,995,0,5,BLUE
560,2023-08-08,8,1150,2,6,BLUE
2395,2023-10-18,20,1089,4,8,BLUE
2676,2024-04-06,22,541,4,4,TIE
6803,2024-12-06,11,984,2,10,BLUE
15838,2024-08-20,9,388,2,0,RED
22801,2025-12-06,9,848,7,9,BLUE
6065,2024-09-12,16,720,2,9,BLUE
24180,2025-10-20,14,932,1,5,BLUE
11725,2025-12-08,17,535,7,6,RED
8575,2024-05-16,27,600,7,6,RED
8612,2025-09-27,23,360,0,0,TIE
2297,2025-11-15,1,600,8,3,RED
16548,2023-12-24,11,966,9,10,BLUE
5629,2025-07-16,18,821,8,7,RED
6380,2025-02-19,16,693,7,0,RED
20624,2023-04-02,9,569,8,1,RED
2469,2023-05-30,7,435,2,1,RED
20148,2025-10-12,16,717,5,1,RED
16233,2024-01-17,16,466,7,8,BLUE
22477,2023-03-10,4,720,0,3,BLUE
3555,2024-02-19,19,1147,10,10,TIE
6487,2025-05-21,29,360,9,1,RED
11383,2024-02-11,15,923,6,3,RED
10471,2023-06-01,5,1140,1,8,BLUE
3593,2025-04-05,14,473,4,1,RED
20383,2024-04-27,18,555,5,5,TIE
22120,2023-10-16,10,728,7,3,RED
23254,2025-11-20,9,780,6,3,RED
5981,2024-06-15,17,938,2,8,BLUE
666,2023-08-10,4,841,3,5,BLUE
1430,2023-06-24,19,782,0,0,TIE
14428,2025-01-23,30,780,0,9,BLUE
21418,2025-02-07,10,404,4,10,BLUE
19996,2023-05-17,19,815,5,7,BLUE
5296,2025-04-15,30,1080,6,8,BLUE
9115,2023-03-06,29,869,1,10,BLUE
4351,2025-12-01,23,924,3,3,TIE
18094,2025-06-21,26,340,9,8,RED
7279,2025-02-27,18,720,2,4,BLUE
16761,2024-08-26,22,804,1,0,RED
15694,2025-07-21,4,503,4,1,RED
21322,2024-07-20,30,840,0,9,BLUE
16679,2023-12-24,23,1146,7,1,RED
8577,2025-07-24,23,900,5,1,RED
11692,2025-08-11,3,1140,2,10,BLUE
8541,2024-11-04,1,480,3,7,BLUE
1652,2025-07-09,24,590,2,0,RED
19428,2023-07-08,27,969,6,7,BLUE
